Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2021-03-17,13.7,27.3,0.0,,,SSW,31.0,16:17,19.3,66,,NW,4,1021.4,25.9,42,,WSW,19,1018.7
2021-03-18,18.2,30.7,0.0,,,ESE,35.0,11:01,22.8,52,, ,Calm,1021.8,30.1,26,,E,15,1020.3
2021-03-19,18.7,30.9,0.0,,,SE,39.0,19:11,24.5,42,,E,11,1023.6,29.1,30,,E,24,1020.3
2021-03-20,20.3,32.6,0.0,,,SE,39.0,12:45,25.3,43,,NE,7,1021.8,31.3,26,,ESE,15,1018.1
2021-03-21,21.0,30.4,0.0,,,ENE,31.0,04:06,24.6,42,,NE,17,1018.1,28.9,36,,SW,13,1015.3
2021-03-22,16.7,28.9,0.0,,,SW,30.0,15:15,21.8,57,, ,Calm,1014.0,28.0,35,,SW,15,1010.6
2021-03-23,13.7,23.9,0.0,,,SW,33.0,14:47,18.8,55,,N,2,1009.4,22.9,51,,SW,17,1007.7
2021-03-24,17.0,22.8,0.0,,,WSW,35.0,20:55,18.0,74,,SW,15,1009.1,20.8,58,,WSW,20,1008.8
2021-03-25,16.1,22.0,0.0,,,SW,33.0,01:00,17.6,62,,SW,19,1012.1,21.5,43,,SSW,15,1012.3
2021-03-26,13.3,22.9,0.0,,,N,24.0,11:25,15.6,68,,NE,11,1012.7,22.1,46,,WNW,17,1010.5
2021-03-27,13.5,21.3,0.4,,,SW,30.0,14:33,17.8,65,,E,4,1014.9,20.5,47,,SW,17,1015.4
2021-03-28,12.3,21.6,1.2,,,SW,26.0,13:29,15.5,73,,N,9,1021.5,20.7,53,,SW,15,1020.7
2021-03-29,10.7,23.9,0.0,,,SW,30.0,16:48,16.3,72,, ,Calm,1025.4,22.7,51,,WSW,13,1023.8
2021-03-30,13.5,27.1,0.0,,,WSW,30.0,15:31,18.5,65,, ,Calm,1026.4,24.7,38,,WSW,13,1024.5
2021-03-31,13.5,28.0,0.0,,,WSW,24.0,12:05,20.5,48,,E,7,1024.5,26.9,35,,WSW,13,1021.8
2021-04-1,13.9,32.3,0.0,,,E,22.0,22:43,20.8,40,,NNE,6,1022.8,30.8,14,,WSW,9,1021.1
2021-04-2,15.4,33.4,0.0,,,WSW,24.0,14:27,21.0,42,, ,Calm,1023.8,32.7,14,,WSW,15,1020.4
2021-04-3,17.3,33.7,0.0,,,NW,26.0,11:24,24.1,31,,NE,13,1020.9,33.3,15,,W,15,1018.1
2021-04-4,15.8,29.9,0.0,,,WSW,24.0,14:47,25.5,32,, ,Calm,1019.6,28.5,31,,SW,15,1017.7
2021-04-5,12.9,25.7,0.0,,,SW,26.0,14:42,20.0,58,,SSE,4,1022.0,24.7,43,,WSW,15,1019.5
2021-04-6,11.1,28.3,0.0,,,W,28.0,14:14,20.3,49,,SW,2,1022.0,26.8,30,,WSW,13,1018.7
2021-04-7,11.4,,0.0,,,,,,20.5,48,, ,Calm,1018.9,24.9,44,,WSW,15,1015.0
